Transaction Date,Local Authority Establishment,Benificiary (Merchant),Amount,Expenditure Purpose,Merchant Category
05/09/2014,DCC BOLHAM PRIMARY SCH 0474800 (00474800),WWW.HOMECRAFTSDIRECT.CO.,43.56,General Retail and Wholesale,Art & craft shops
05/09/2014,DCC COCKWOOD P.SCH-0479007 (00479007),Amazon  Mktplce EU-UK,2.81,Books and Periodicals,Book stores
05/09/2014,DCC KING EDWARD VI COMMUNITY C (00247596),Amazon  Mktplce EU-UK,36.82,Books and Periodicals,Book stores
05/09/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon  Mktplce EU-UK,7.15,Books and Periodicals,Book stores
05/09/2014,DCC EAST DEVON LEARN DISB SERV (00308185),TVLICENSING.CO.UK,145.50,Professional Services,Consultants & public relation services
05/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),Amazon EU,180.71,Mail Order / Direct Selling,Direct sales companies
05/09/2014,DCC - DAVEY COURT - C 0467695 (00467695),TESCO STORE 2487,172.95,General Retail and Wholesale,Grocery stores
05/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORES 6269,10.00,General Retail and Wholesale,Grocery stores
05/09/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,42.39,General Retail and Wholesale,Grocery stores
05/09/2014,DCC WHITCHURCH - C 0559309 (00559309),WM MORRISONS,144.64,General Retail and Wholesale,Grocery stores
05/09/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon  Mktplce EU-UK,9.76,General Retail and Wholesale,Miscellaneous retail
05/09/2014,D C C - BIDEFORD COLLEGE (00247481),FGW WEBSALES,170.00,Travel - Air/Rail/Road,Passenger railways
05/09/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.CARTRIDGEPEOPLE.CO,304.99,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
05/09/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.CARTRIDGEPEOPLE.CO,14.78,"Office Stationery, Equipment and Supplies",Stationery & office supplies stores
06/09/2014,D C C - BIDEFORD COLLEGE (00247481),Amazon  Mktplce EU-UK,2.55,Books and Periodicals,Book stores
06/09/2014,DCC-RATCLIFFE SCH-C- 0503860 (00503860),Amazon  Mktplce EU-UK,11.10,Books and Periodicals,Book stores
06/09/2014,DCC-OUR SCH. FED-0467699 (00467699),BRI our-school.org.uk,172.51,Mail Order / Direct Selling,Continuous subscriptions
06/09/2014,DCC ORCHARD LEA RESI 0474050 (00474050),TESCO DELIVERY SAVER2,6.00,Mail Order / Direct Selling,Continuous subscriptions
06/09/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon EU,30.64,Mail Order / Direct Selling,Direct sales companies
06/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),SAINSBURY'S S/MKT,22.46,General Retail and Wholesale,Grocery stores
06/09/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,58.91,General Retail and Wholesale,Grocery stores
06/09/2014,DCC WILLAND SCH-C 0509473 (00509473),WAITROSE,28.80,General Retail and Wholesale,Grocery stores
06/09/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),WM MORRISONS,13.92,General Retail and Wholesale,Grocery stores
06/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),HOMEBASE LTD 208,49.39,Building Materials,Timber & building supplies
07/09/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon  Mktplce EU-UK,21.49,Books and Periodicals,Book stores
07/09/2014,DCC ST HORRABRIDGE-C 0514361 (00514361),TESCO-STORES-6106,8.10,General Retail and Wholesale,Grocery stores
07/09/2014,DCC - WITHERIDGE PRIM SCHOOL (00347015),B & Q,31.98,Building Materials,Timber & building supplies
08/09/2014,DCC HATHERLEIGH PS-C 0514362 (00514362),Amazon  Mktplce EU-UK,64.24,Books and Periodicals,Book stores
08/09/2014,DCC WHITCHURCH - C 0559309 (00559309),Amazon  Mktplce EU-UK,29.93,Books and Periodicals,Book stores
08/09/2014,DCC-RATCLIFFE SCH-C- 0503860 (00503860),Amazon  Mktplce EU-UK,5.78,Books and Periodicals,Book stores
08/09/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),WWW.OUP.COM,630.00,Books and Periodicals,Book stores
08/09/2014,D C C - BIDEFORD COLLEGE (00247481),WP-SCOACH ETICKET,264.00,Travel - Air/Rail/Road,"Buses, charter & tour"
08/09/2014,DCC SOUTH MOLTON COMMUNITY COL (00320917),CARTRIDGE DISCOUNT,48.81,Computer Equipment & Services,"Computers, peripherals & software"
08/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),Amazon EU,107.42,Mail Order / Direct Selling,Direct sales companies
08/09/2014,DCC-BASSETTS FARM PR 0487469 (00487469),ASDA STORES 7134,85.60,General Retail and Wholesale,Grocery stores
08/09/2014,DCC SWIMBRIDGE PRMRY SCHOOL-NO (00246956),TESCO STORE 2083,62.31,General Retail and Wholesale,Grocery stores
08/09/2014,DCC CHARLTON LODGE C0554043 (00554043),TESCO STORES 5138,41.43,General Retail and Wholesale,Grocery stores
08/09/2014,DCC WILLAND SCH-C 0509473 (00509473),TESCO STORES 5663,10.46,General Retail and Wholesale,Grocery stores
08/09/2014,DEVON COUNTY COUNCIL- MARLAND (00245924),TESCO STORES 6269,78.25,General Retail and Wholesale,Grocery stores
08/09/2014,D C C - BIDEFORD COLLEGE (00247481),FGW WEBSALES,109.90,Travel - Air/Rail/Road,Passenger railways
